题目ID,题目类型,是否必答,题目内容,选项A,选项B,选项C,选项D,正确答案,备注
1,单选题,是,小麦需要什么才能生长？,水,光,骨粉,以上都需要,D,作物生长条件
2,单选题,否,如何获得南瓜？,击杀怪物,自然生成,种植南瓜种子,与村民交易,C,南瓜获取方式
3,单选题,否,以下哪种动物可以产奶？,猪,羊,牛,鸡,C,产奶动物识别
4,单选题,否,如何获得羊毛？,击杀羊,剪羊毛,与村民交易,以上都可以,D,羊毛获取方式
5,单选题,否,以下哪种作物可以用来繁殖鸡？,小麦种子,胡萝卜,马铃薯,甜菜根,A,鸡繁殖食物
6,单选题,否,如何获得蜂蜜？,击杀蜜蜂,使用玻璃瓶对蜂巢使用,与村民交易,地牢宝箱,B,蜂蜜获取方式
7,单选题,否,以下哪种动物可以剪毛？,牛,羊,猪,鸡,B,可剪毛动物
8,单选题,否,如何获得鸡蛋？,击杀鸡,鸡自然产蛋,与村民交易,地牢宝箱,B,鸡蛋获取方式
9,单选题,否,以下哪种作物需要水才能种植？,小麦,西瓜,南瓜,以上都需要,D,作物种植条件
10,单选题,否,如何获得甘蔗？,击杀怪物,自然生成,种植甘蔗,与村民交易,B,甘蔗获取方式
11,单选题,否,以下哪种动物可以驯服？,猪,羊,猫,牛,C,可驯服动物
12,单选题,否,如何获得蘑菇？,击杀怪物,自然生成,种植蘑菇,以上都可以,D,蘑菇获取方式
13,单选题,否,以下哪种作物可以用来繁殖牛？,小麦,胡萝卜,马铃薯,甜菜根,A,牛繁殖食物
14,单选题,否,如何获得甜浆果？,击杀怪物,自然生成,种植甜浆果丛,与村民交易,B,甜浆果获取
15,单选题,否,以下哪种动物可以产蛋？,猪,羊,牛,鸡,D,产蛋动物识别
16,单选题,否,如何获得兔子脚？,击杀兔子,与村民交易,地牢宝箱,以上都可以,A,兔子脚获取
17,单选题,否,以下哪种作物可以用来繁殖羊？,小麦,胡萝卜,马铃薯,甜菜根,A,羊繁殖食物
18,单选题,否,如何获得可可豆？,击杀怪物,丛林木自然生成,种植可可豆,与村民交易,B,可可豆获取
19,单选题,否,以下哪种动物可以骑乘？,猪,羊,牛,马,D,可骑乘动物
20,单选题,否,如何获得仙人掌？,击杀怪物,沙漠自然生成,种植仙人掌,与村民交易,B,仙人掌获取
21,单选题,否,如何获得海龟蛋？,击杀海龟,海龟在沙滩上产卵,与村民交易,钓鱼,B,海龟蛋获取
22,单选题,否,以下哪种作物可以用来繁殖兔子？,小麦,胡萝卜,马铃薯,甜菜根,B,兔子繁殖食物
23,单选题,否,如何获得墨囊？,击杀鱿鱼,击杀守卫者,钓鱼,与村民交易,A,墨囊获取
24,单选题,否,以下哪种动物可以掉落皮革？,猪,牛,羊,鸡,B,皮革来源
25,单选题,否,如何获得羽毛？,击杀鸡,击杀鹦鹉,钓鱼,以上都可以,D,羽毛获取
26,单选题,否,以下哪种作物可以用来繁殖海龟？,小麦,胡萝卜,海草,甜菜根,C,海龟繁殖食物
27,单选题,否,如何获得燧石？,挖掘沙砾,击杀怪物,钓鱼,与村民交易,A,燧石获取
28,单选题,否,以下哪种动物可以掉落羊毛？,猪,牛,羊,鸡,C,羊毛来源
29,单选题,否,如何获得线？,击杀蜘蛛,击杀洞穴蜘蛛,破坏蜘蛛网,以上都可以,D,线获取
30,单选题,否,以下哪种作物可以用来繁殖狐狸？,小麦,胡萝卜,马铃薯,甜浆果,D,狐狸繁殖食物
31,多选题,是,以下哪种作物可以用来繁殖猪？,小麦,胡萝卜,马铃薯,甜菜根,BCD,猪繁殖食物（必答）
32,多选题,否,以下哪些动物可以产奶？,猪,羊,牛,山羊,CD,产奶动物列表
33,多选题,否,以下哪些作物需要水才能种植？,小麦,西瓜,南瓜,甘蔗,ABCD,需水作物列表
34,多选题,否,以下哪些动物可以驯服？,猫,狼,马,驴,ABCD,可驯服动物列表
35,多选题,否,以下哪些作物可以用来繁殖动物？,小麦-牛/羊,胡萝卜-猪,种子-鸡,甜浆果-狐狸,ABCD,动物繁殖食物对应
36,多选题,否,以下哪些动物可以剪毛？,羊,雪傀儡,牛,猪,AB,可剪毛生物
37,多选题,否,以下哪些作物可以在主世界种植？,小麦,胡萝卜,马铃薯,甜菜根,ABCD,主世界作物
38,多选题,否,以下哪些动物可以产蛋？,鸡,海龟,青蛙,鸭子,ABC,产蛋动物列表
39,多选题,否,以下哪些作物需要光照才能生长？,小麦,西瓜,南瓜,甘蔗,ABC,需光作物
40,多选题,否,以下哪些动物可以繁殖？,猪,牛,羊,鸡,ABCD,可繁殖动物
41,多选题,否,以下哪些作物可以用来制作食物？,小麦-面包,马铃薯-烤马铃薯,胡萝卜-金胡萝卜,甜菜根-甜菜汤,ABCD,作物加工食物
42,多选题,否,以下哪些动物会掉落食物？,猪-猪肉,牛-牛肉,羊-羊肉,鸡-鸡肉,ABCD,动物掉落食物
43,多选题,否,以下哪些作物可以自动收获？,小麦,胡萝卜,马铃薯,甜菜根,ABCD,可自动收获作物
44,多选题,否,以下哪些动物可以被驯服后跟随玩家？,狼,猫,鹦鹉,狐狸,ABCD,跟随玩家的动物
45,多选题,否,以下哪些作物可以在下界生长？,蘑菇,地狱疣,甘蔗,仙人掌,AB,下界可种作物
46,多选题,否,以下哪些动物可以骑乘？,马,驴,骡,猪,ABCD,可骑乘动物
47,多选题,否,以下哪些作物需要骨粉催熟？,小麦,西瓜,南瓜,树苗,ABCD,可催熟作物
48,多选题,否,以下哪些动物会主动攻击玩家？,狼（未驯服时被攻击）,猫,蜜蜂（被攻击时）,北极熊,ACD,可能攻击玩家的中立动物
49,多选题,否,以下哪些作物可以用来制作染料？,骨粉-白色,可可豆-棕色,甜菜根-红色,墨囊-黑色,ABCD,作物制作染料
50,多选题,否,以下哪些动物可以产幼崽？,猪,牛,羊,鸡,ABCD,可繁殖幼崽动物
51,多选题,否,以下哪些动物可以掉落骨头？,骷髅,狼,骷髅马,凋零骷髅,ABCD,骨头来源
52,多选题,否,以下哪些作物可以用来制作蛋糕？,小麦,糖,鸡蛋,牛奶,ABCD,蛋糕材料
53,多选题,否,以下哪些动物可以掉落生肉？,猪,牛,羊,鸡,ABCD,生肉来源
