题目ID,题目类型,是否必答,题目内容,选项A,选项B,选项C,选项D,正确答案,备注
1,单选题,是,在服务器中以下哪种行为是被禁止的？,建造房屋,挖矿,使用作弊客户端,与玩家交易,C,服务器禁止行为
2,单选题,是,如果发现其他玩家作弊你应该怎么做？,自己也作弊,举报给管理员,无视,帮助作弊者,B,发现作弊处理方式
3,单选题,否,在服务器中以下哪种行为是允许的？,恶意破坏他人建筑,偷窃他人物品,正常游戏交流,使用漏洞刷物品,C,服务器允许行为
4,单选题,否,如果与其他玩家发生冲突你应该怎么做？,辱骂对方,私下解决,向管理员举报,使用作弊报复,C,玩家冲突处理
5,单选题,是,在服务器中以下哪种行为会被封禁？,建造大型建筑,使用作弊客户端,挖矿收集资源,与玩家交易,B,封禁行为
6,单选题,否,服务器禁止使用哪些客户端？,官方客户端,作弊客户端,Optifine优化客户端,所有第三方客户端,B,禁止客户端类型
7,单选题,是,如果发现服务器漏洞你应该怎么做？,利用漏洞获取利益,保密不告诉任何人,立即向管理员报告,告诉其他玩家一起利用,C,漏洞处理方式
8,单选题,否,在服务器中以下哪种行为是正确的？,尊重其他玩家,随意拿取他人物品,恶意PK,刷屏广告,A,正确行为
9,单选题,否,服务器禁止哪些类型的红石机器？,自动农场,严重卡服的机器,刷铁机,所有红石机器,B,禁止红石机器
10,单选题,否,如果被误封禁你应该怎么做？,创建新账号继续游戏,在群里辱骂管理员,通过正规渠道申诉,放弃这个服务器,C,误封处理方式
11,单选题,否,在服务器中刷屏会有什么后果？,被警告,被禁言,被封禁,以上都可能,D,刷屏后果
12,单选题,否,发现其他玩家使用漏洞应该怎么做？,一起利用,举报给管理员,告诉朋友,无视,B,漏洞举报
13,单选题,否,服务器是否允许恶意破坏他人建筑？,允许,不允许,视情况而定,只在特定区域允许,B,建筑破坏规则
14,单选题,否,在服务器中是否可以偷窃他人物品？,可以,不可以,只在特定区域可以,视情况而定,B,偷窃规则
15,单选题,否,服务器是否允许使用X-ray材质包？,允许,不允许,只在特定区域允许,视情况而定,B,X-ray规则
16,单选题,否,在服务器中辱骂其他玩家会有什么后果？,被警告,被禁言,被封禁,以上都可能,D,辱骂后果
17,单选题,否,服务器是否允许使用自动点击器？,允许,不允许,只在PVP时允许,视情况而定,B,自动点击器规则
18,单选题,否,在服务器中是否可以恶意PK其他玩家？,可以,不可以,只在PVP区域可以,视情况而定,C,PK规则
19,单选题,否,服务器是否允许使用透视外挂？,允许,不允许,只在特定区域允许,视情况而定,B,透视外挂规则
20,单选题,否,在服务器中是否可以发布广告？,可以,不可以,只在特定频道可以,视情况而定,B,广告规则
21,多选题,是,以下哪些行为在服务器中是被禁止的？,使用作弊客户端,恶意破坏他人建筑,偷窃他人物品,利用漏洞刷物品,ABCD,禁止行为列表（必答）
22,多选题,否,如果发现其他玩家作弊正确的做法有哪些？,举报给管理员,收集证据,告诉其他玩家小心,自己保持公正,ABCD,发现作弊正确做法
23,多选题,否,以下哪些行为在服务器中是允许的？,建造房屋,挖矿收集资源,与玩家交易,正常游戏交流,ABCD,允许行为列表
24,多选题,否,如果与其他玩家发生冲突正确的做法有哪些？,保持冷静,向管理员举报,收集证据,理性沟通,ABCD,冲突正确处理
25,多选题,是,以下哪些行为会被封禁？,使用作弊客户端,恶意破坏他人建筑,偷窃他人物品,利用漏洞刷物品,ABCD,封禁行为列表（必答）
26,多选题,否,服务器允许使用哪些客户端？,官方客户端,Optifine优化客户端,LabyMod客户端,作弊客户端,ABC,允许客户端类型
27,多选题,否,如果发现服务器漏洞正确的做法有哪些？,立即向管理员报告,不利用漏洞,不告诉其他玩家,收集漏洞信息,ABCD,漏洞正确处理
28,多选题,否,在服务器中以下哪些行为是正确的？,尊重其他玩家,遵守服务器规则,帮助新玩家,积极参与社区活动,ABCD,正确行为列表
29,多选题,否,服务器允许建造哪些类型的红石机器？,自动农场,刷铁机,物品分类器,自动熔炉,ABCD,允许红石机器
30,多选题,否,如果被误封禁正确的做法有哪些？,通过正规渠道申诉,收集证据证明清白,保持耐心等待,理性沟通,ABCD,误封正确处理
