题目ID,题目类型,是否必答,题目内容,选项A,选项B,选项C,选项D,正确答案,备注
1,单选题,是,以下哪个指令可以传送到指定坐标？,/tp,/teleport,/move,/goto,A,传送指令
2,单选题,否,以下哪个指令可以给予玩家物品？,/give,/item,/add,/get,A,给予物品指令
3,单选题,否,以下哪个指令可以设置玩家游戏模式？,/gamemode,/gm,/mode,/game,A,游戏模式指令
4,单选题,否,以下哪个指令可以改变时间？,/time,/day,/night,/clock,A,时间指令
5,单选题,否,以下哪个指令可以改变天气？,/weather,/rain,/sun,/storm,A,天气指令
6,单选题,否,以下哪个指令可以生成生物？,/summon,/spawn,/create,/entity,A,生成生物指令
7,单选题,否,以下哪个指令可以清除玩家物品？,/clear,/remove,/delete,/erase,A,清除物品指令
8,单选题,否,以下哪个指令可以设置出生点？,/spawnpoint,/setspawn,/home,/respawn,A,出生点指令
9,单选题,否,以下哪个指令可以设置世界出生点？,/setworldspawn,/worldspawn,/spawn,/setspawn,A,世界出生点指令
10,单选题,否,以下哪个指令可以给予玩家效果？,/effect,/potion,/buff,/status,A,效果指令
11,单选题,否,以下哪个指令可以检测方块？,/testforblock,/checkblock,/detectblock,/findblock,A,检测方块指令
12,单选题,否,以下哪个指令可以填充方块？,/fill,/setblock,/place,/build,A,填充方块指令
13,单选题,否,以下哪个指令可以克隆方块？,/clone,/copy,/duplicate,/replicate,A,克隆方块指令
14,单选题,否,以下哪个指令可以执行其他指令？,/execute,/run,/do,/perform,A,执行指令
15,单选题,否,以下哪个指令可以检测实体？,/testfor,/detect,/find,/search,A,检测实体指令
16,单选题,否,以下哪个指令可以设置分数？,/scoreboard,/score,/points,/rank,A,分数指令
17,单选题,否,以下哪个指令可以播放声音？,/playsound,/sound,/audio,/music,A,播放声音指令
18,单选题,否,以下哪个指令可以发送消息？,/tell,/msg,/say,/以上都可以,D,发送消息指令
19,单选题,否,以下哪个指令可以设置标题？,/title,/header,/display,/show,A,标题指令
20,单选题,否,以下哪个指令可以杀死实体？,/kill,/die,/destroy,/remove,A,杀死实体指令
21,单选题,否,以下哪个指令可以设置世界边界？,/worldborder,/border,/limit,/edge,A,世界边界指令
22,单选题,否,以下哪个指令可以定位结构？,/locate,/find,/search,/structure,A,定位结构指令
23,单选题,否,以下哪个指令可以设置队伍？,/team,/group,/party,/squad,A,队伍指令
24,单选题,否,以下哪个指令可以设置标签？,/tag,/label,/mark,/flag,A,标签指令
25,单选题,否,以下哪个指令可以设置Boss血条？,/bossbar,/healthbar,/boss,/bar,A,Boss血条指令
26,单选题,否,以下哪个指令可以设置附魔？,/enchant,/magic,/spell,/curse,A,附魔指令
27,单选题,否,以下哪个指令可以设置物品？,/item,/replaceitem,/setitem,/giveitem,B,物品设置指令
28,单选题,否,以下哪个指令可以设置配方？,/recipe,/craft,/make,/create,A,配方指令
29,单选题,否,以下哪个指令可以设置进度？,/advancement,/progress,/achievement,/goal,A,进度指令
30,单选题,否,以下哪个指令可以设置数据？,/data,/setdata,/modify,/change,A,数据指令
31,多选题,是,以下哪些指令可以改变游戏状态？,/gamemode,/gamerule,/difficulty,/time,ABCD,游戏状态指令（必答）
32,多选题,否,以下哪些指令可以操作方块？,/setblock,/fill,/clone,/testforblock,ABCD,方块操作指令
33,多选题,否,以下哪些指令可以操作实体？,/summon,/kill,/tp,/effect,ABCD,实体操作指令
34,多选题,否,以下哪些指令可以操作玩家？,/tp,/give,/clear,/effect,ABCD,玩家操作指令
35,多选题,否,以下哪些指令可以检测条件？,/testfor,/testforblock,/execute,/scoreboard,ABCD,条件检测指令
36,多选题,否,以下哪些指令可以显示信息？,/tell,/say,/title,/scoreboard,ABCD,信息显示指令
37,多选题,否,以下哪些指令可以操作物品？,/give,/clear,/replaceitem,/enchant,ABCD,物品操作指令
