题目ID,题目类型,是否必答,题目内容,选项A,选项B,选项C,选项D,正确答案,备注
1,单选题,是,以下哪种方块可以被活塞推动？,黑曜石,基岩,石头,末地传送门框架,C,活塞机制基础
2,单选题,否,如何制作混凝土？,直接放置混凝土粉末,混凝土粉末接触水,在熔炉中烧炼,使用工作台合成,B,混凝土制作方法
3,单选题,否,以下哪种方块会受重力影响？,沙砾,石头,泥土,圆石,A,重力方块知识
4,单选题,否,陶瓦需要用什么工具采集才能掉落？,任何工具,木镐及以上,石镐及以上,精准采集镐,C,陶瓦采集工具
5,单选题,否,以下哪种方块不能被活塞推动？,石头,黑曜石,泥土,木板,B,活塞推动限制
6,单选题,否,如何获得带釉陶瓦？,直接挖掘,在熔炉中烧炼陶瓦,与村民交易,地牢宝箱,B,带釉陶瓦获取
7,单选题,否,以下哪种方块亮度最高？,荧石,海晶灯,信标,南瓜灯,C,光源亮度比较
8,单选题,否,混凝土粉末在水中会变成什么？,沙子,混凝土,沙砾,消失,B,混凝土粉末特性
9,单选题,否,以下哪种方块是透明的？,石头,玻璃,木板,泥土,B,透明方块识别
10,单选题,否,如何获得染色玻璃？,直接挖掘,在工作台合成,在熔炉中烧炼,与村民交易,B,染色玻璃制作
11,单选题,否,以下哪种方块可以被末影人搬运？,石头,泥土,基岩,黑曜石,B,末影人搬运机制
12,单选题,否,楼梯方块的朝向由什么决定？,放置时玩家面向的方向,放置时玩家背对的方向,随机方向,固定方向,A,楼梯放置方向
13,单选题,否,以下哪种方块可以放置在墙上？,火把,床,工作台,熔炉,A,墙上放置物品
14,单选题,否,活板门可以放置在哪些位置？,只能放在地面,只能放在墙上,地面和墙上都可以,只能放在天花板上,C,活板门放置位置
15,单选题,否,以下哪种方块可以用水桶收集？,岩浆块,岩浆,荧石,海晶石,B,液体收集方法
16,单选题,否,如何获得苔藓块？,直接挖掘,与流浪商人交易,使用骨粉催熟苔藓,地牢宝箱,C,苔藓块获取
17,单选题,否,以下哪种方块可以被蜘蛛爬过？,圆石墙,栅栏,玻璃板,所有都可以,D,蜘蛛爬墙机制
