题目ID,题目类型,是否必答,题目内容,选项A,选项B,选项C,选项D,正确答案,备注
1,单选题,是,在Minecraft中以下哪种工具挖掘石头最快？,木镐,石镐,铁镐,钻石镐,D,工具效率比较
2,单选题,否,在下界中以下哪种方块可以用来制作药水？,下界岩,灵魂沙,地狱疣,荧石,C,药水制作材料
3,单选题,否,如何制作铁傀儡？,4个铁块+1个南瓜,3个铁块+1个南瓜,4个铁块+1个西瓜,3个铁锭+1个南瓜,A,铁傀儡制作
4,单选题,否,以下哪种食物恢复的饥饿值最多？,面包,牛排,金苹果,蛋糕,C,食物饥饿值比较
5,单选题,否,如何获得末影珍珠？,击杀末影人,挖掘末地石,与村民交易,以上都可以,D,末影珍珠获取
6,单选题,否,以下哪种生物会主动攻击玩家？,猪,羊,僵尸,牛,C,敌对生物识别
7,单选题,否,如何制作床？,3个羊毛+3个木板,2个羊毛+4个木板,3个羊毛+2个木板,4个羊毛+2个木板,A,床的制作配方
8,单选题,否,以下哪种矿物只能在下界找到？,铁矿石,金矿石,下界石英矿石,钻石矿石,C,下界矿物分布
9,单选题,否,如何获得龙蛋？,击杀末影龙,挖掘末地石,末地城宝箱,与村民交易,A,龙蛋获取方式
10,单选题,否,以下哪种药水可以让玩家在水下呼吸？,水肺药水,夜视药水,隐身药水,迅捷药水,A,水下呼吸药水
11,单选题,否,如何获得信标？,击杀凋灵,合成,地牢宝箱,与村民交易,B,信标获取方式
12,单选题,否,以下哪种方块可以用来制作传送门？,黑曜石,末地传送门框架,哭泣的黑曜石,以上都可以,A,传送门制作材料
13,单选题,否,如何获得鞘翅？,击杀末影龙,末地船,末地城宝箱,与村民交易,B,鞘翅获取位置
14,单选题,否,以下哪种生物可以驯服？,僵尸,骷髅,狼,末影人,C,可驯服生物
15,单选题,否,如何获得不死图腾？,击杀唤魔者,林地府邸宝箱,与村民交易,以上都可以,A,不死图腾获取
16,单选题,否,以下哪种食物可以用来繁殖猪？,小麦,胡萝卜,种子,苹果,B,猪繁殖食物
17,单选题,否,如何获得海绵？,击杀守卫者,海底神殿,与流浪商人交易,以上都可以,B,海绵获取方式
18,单选题,否,以下哪种药水可以治疗僵尸村民？,治疗药水,虚弱药水+金苹果,再生药水,力量药水,B,僵尸村民治疗
19,单选题,否,如何获得三叉戟？,击杀溺尸,钓鱼,海底遗迹,与村民交易,A,三叉戟获取
20,单选题,否,以下哪种方块可以用来制作信标基座？,铁块,金块,钻石块,以上都可以,D,信标基座材料
21,单选题,否,如何获得海洋之心？,击杀溺尸,海底神殿宝箱,钓鱼,与村民交易,B,海洋之心获取
22,单选题,否,以下哪种生物会爆炸？,僵尸,骷髅,苦力怕,末影人,C,爆炸生物识别
23,单选题,否,如何获得附魔金苹果？,合成,地牢宝箱,与村民交易,以上都可以,B,附魔金苹果获取
24,单选题,否,以下哪种矿物需要铁镐及以上才能挖掘？,煤矿石,铁矿石,金矿石,青金石矿石,C,矿物挖掘等级
25,单选题,否,如何获得鞘翅修复材料？,皮革,幻翼膜,兔子皮,以上都可以,B,鞘翅修复材料
26,多选题,是,以下哪些生物会在夜间生成？,僵尸,骷髅,苦力怕,末影人,ABCD,夜间生成生物（必答）
27,多选题,否,以下哪些食物可以恢复饥饿值？,面包,牛排,苹果,胡萝卜,ABCD,可食用食物
28,多选题,否,以下哪些矿物可以在主世界找到？,铁矿石,金矿石,钻石矿石,煤矿石,ABCD,主世界矿物分布
29,多选题,否,以下哪些生物可以驯服？,狼,猫,马,鹦鹉,ABCD,可驯服生物列表
30,多选题,否,以下哪些方块可以用来制作传送门？,黑曜石,末地传送门框架,哭泣的黑曜石,基岩,AB,传送门制作方块
31,多选题,否,以下哪些药水对玩家有益？,治疗药水,迅捷药水,夜视药水,隐身药水,ABCD,有益药水类型
32,多选题,否,以下哪些生物会掉落特殊物品？,末影人-末影珍珠,烈焰人-烈焰棒,凋灵骷髅-凋灵骷髅头,恶魂-恶魂之泪,ABCD,生物掉落物
33,多选题,否,以下哪些方块可以用来制作信标基座？,铁块,金块,钻石块,绿宝石块,ABCD,信标基座材料
34,多选题,否,以下哪些生物会在下界生成？,僵尸猪灵,烈焰人,恶魂,凋灵骷髅,ABCD,下界生物分布
35,多选题,否,以下哪些食物可以用来繁殖动物？,小麦-牛/羊,胡萝卜-猪/兔子,种子-鸡,甜浆果-狐狸,ABCD,动物繁殖食物
36,多选题,否,以下哪些方块可以用来制作药水？,地狱疣,蜘蛛眼,恶魂之泪,烈焰粉,ABCD,药水制作材料
37,多选题,否,以下哪些生物会在末地生成？,末影人,末影龙,潜影贝,末影螨,ABCD,末地生物分布
38,多选题,否,以下哪些物品可以用来附魔？,附魔台,铁砧,磨石,书架,ABD,附魔相关物品
39,多选题,否,以下哪些生物会游泳？,僵尸,骷髅,溺尸,末影人,AC,会游泳的生物
40,多选题,否,以下哪些方块可以用来制作床？,羊毛,木板,竹板,下界木板,ABC,床的制作材料
41,多选题,否,以下哪些生物会攻击玩家？,僵尸,骷髅,苦力怕,末影人,ABCD,敌对生物列表
42,多选题,否,以下哪些方块可以用来制作工具？,木头,石头,铁锭,钻石,ABCD,工具制作材料
43,多选题,否,以下哪些生物会掉落食物？,猪,牛,羊,鸡,ABCD,食物来源生物
44,多选题,否,以下哪些方块可以用来制作盔甲？,铁锭,金锭,钻石,下界合金锭,ABCD,盔甲制作材料
45,多选题,否,以下哪些生物会在水中生成？,溺尸,守卫者,鱿鱼,海豚,ABCD,水生生物分布
46,多选题,否,以下哪些方块可以用来制作武器？,木头,石头,铁锭,钻石,ABCD,武器制作材料
47,多选题,否,以下哪些生物可以被繁殖？,猪,牛,羊,鸡,ABCD,可繁殖生物
48,多选题,否,以下哪些方块可以用来制作熔炉？,圆石,黑石,深板岩,平滑石头,ABC,熔炉制作材料
49,多选题,否,以下哪些生物会掉落经验值？,僵尸,骷髅,苦力怕,末影人,ABCD,经验值来源
50,多选题,否,以下哪些方块可以用来制作工作台？,橡木木板,云杉木板,白桦木板,深色橡木木板,ABCD,工作台制作材料
