题库分类,题目ID,题目类型,是否必答,题目内容,选项A,选项B,选项C,选项D,正确答案,备注
建筑,1,单选题,是,以下哪种方块可以被活塞推动？,黑曜石,基岩,石头,末地传送门框架,C,活塞机制基础
建筑,2,单选题,否,如何制作混凝土？,直接放置混凝土粉末,混凝土粉末接触水,在熔炉中烧炼,使用工作台合成,B,混凝土制作方法
建筑,3,单选题,否,以下哪种方块会受重力影响？,沙砾,石头,泥土,圆石,A,重力方块知识
建筑,4,单选题,否,陶瓦需要用什么工具采集才能掉落？,任何工具,木镐及以上,石镐及以上,精准采集镐,C,陶瓦采集工具
建筑,5,单选题,否,以下哪种方块不能被活塞推动？,石头,黑曜石,泥土,木板,B,活塞推动限制
建筑,6,单选题,否,如何获得带釉陶瓦？,直接挖掘,在熔炉中烧炼陶瓦,与村民交易,地牢宝箱,B,带釉陶瓦获取
建筑,7,单选题,否,以下哪种方块亮度最高？,荧石,海晶灯,信标,南瓜灯,C,光源亮度比较
建筑,8,单选题,否,混凝土粉末在水中会变成什么？,沙子,混凝土,沙砾,消失,B,混凝土粉末特性
建筑,9,单选题,否,以下哪种方块是透明的？,石头,玻璃,木板,泥土,B,透明方块识别
建筑,10,单选题,否,如何获得染色玻璃？,直接挖掘,在工作台合成,在熔炉中烧炼,与村民交易,B,染色玻璃制作
建筑,11,单选题,否,以下哪种方块可以被末影人搬运？,石头,泥土,基岩,黑曜石,B,末影人搬运机制
建筑,12,单选题,否,楼梯方块的朝向由什么决定？,放置时玩家面向的方向,放置时玩家背对的方向,随机方向,固定方向,A,楼梯放置方向
建筑,13,单选题,否,以下哪种方块可以放置在墙上？,火把,床,工作台,熔炉,A,墙上放置物品
建筑,14,单选题,否,活板门可以放置在哪些位置？,只能放在地面,只能放在墙上,地面和墙上都可以,只能放在天花板上,C,活板门放置位置
建筑,15,单选题,否,以下哪种方块可以用水桶收集？,岩浆块,岩浆,荧石,海晶石,B,液体收集方法
建筑,16,单选题,否,如何获得苔藓块？,直接挖掘,与流浪商人交易,使用骨粉催熟苔藓,地牢宝箱,C,苔藓块获取
建筑,17,单选题,否,以下哪种方块可以被蜘蛛爬过？,圆石墙,栅栏,玻璃板,所有都可以,D,蜘蛛爬墙机制
建筑,18,单选题,否,铁栏杆和玻璃板连接时会发生什么？,不会连接,会连接,会形成十字形,会消失,A,方块连接规则
建筑,19,单选题,否,以下哪种方块可以用来制作自动门？,活塞,粘性活塞,观察者,以上都可以,D,自动门制作
建筑,20,单选题,否,深板岩需要什么等级的镐才能采集？,木镐,石镐,铁镐,钻石镐,B,深板岩采集工具
建筑,21,单选题,否,以下哪些方块可以用来建造屋顶？,楼梯,台阶,方块,以上都可以,D,屋顶建筑材料
建筑,22,单选题,否,如何获得平滑石头？,直接挖掘石头,烧炼石头,烧炼圆石,精准采集,B,平滑石头获取
建筑,23,单选题,否,以下哪种方块不能被爆炸破坏？,石头,黑曜石,基岩,末地石,C,爆炸抗性方块
建筑,24,单选题,否,羊毛可以用什么工具更快采集？,任何工具,剪刀,剑,手,B,羊毛采集工具
建筑,25,单选题,否,以下哪种方块可以阻止怪物生成？,石头,泥土,地毯,玻璃,C,怪物生成条件
建筑,26,单选题,否,如何获得切制铜块？,直接挖掘,在工作台合成,使用切石机,与村民交易,C,切制铜块获取
建筑,27,单选题,否,以下哪种方块会随时间氧化？,铁块,铜块,金块,钻石块,B,铜氧化机制
建筑,28,单选题,否,避雷针用什么材料制作？,铁锭,铜锭,金锭,下界合金锭,B,避雷针制作材料
建筑,29,单选题,否,以下哪种方块可以用来制作水下建筑？,海绵,沙子,玻璃,以上都可以,D,水下建筑材料
建筑,30,单选题,否,如何获得深色橡木？,普通橡木树,深色橡木树,云杉树,白桦树,B,深色橡木获取
建筑,31,多选题,是,以下哪些方块不能被活塞推动？,黑曜石,哭泣的黑曜石,基岩,以上都是,ABC,活塞推动限制（必答）
建筑,32,多选题,否,建筑中常用的装饰性方块包括哪些？,花盆,画,物品展示框,盔甲架,ABCD,装饰方块种类
建筑,33,多选题,否,以下哪些方块可以用来建造地板？,羊毛,混凝土,木板,石头,ABCD,地板材料选择
建筑,34,多选题,否,哪些方块可以用来制作光源？,火把,灯笼,海晶灯,荧石,ABCD,光源方块类型
建筑,35,多选题,否,以下哪些木材种类存在于Minecraft中？,橡木,云杉木,白桦木,樱花木,ABCD,木材种类
建筑,36,多选题,否,建筑中常用的半透明方块有哪些？,玻璃,玻璃板,铁栏杆,栅栏门,AB,半透明方块
建筑,37,多选题,否,以下哪些方块可以用水流冲走？,沙子,沙砾,泥土,圆石,ABC,水流冲走方块
建筑,38,多选题,否,哪些方块可以用来建造水下通道？,门,活板门,栅栏门,楼梯,ABCD,水下通道建造
建筑,39,多选题,否,以下哪些是Minecraft中的石质方块？,石头,圆石,石砖,平滑石头,ABCD,石质方块分类
建筑,40,多选题,否,建筑中常用的红色系方块有哪些？,红羊毛,红陶瓦,红混凝土,红砂岩,ABCD,红色系方块
建筑,41,多选题,否,以下哪些方块可以用来建造中世纪风格建筑？,石砖,圆石,云杉木,苔藓石砖,ABCD,中世纪风格材料
建筑,42,多选题,否,哪些方块可以放置在墙上作为装饰？,火把,按钮,拉杆,压力板,ABCD,墙面装饰
建筑,43,多选题,否,以下哪些方块可以用来制作陷阱？,TNT,岩浆块,甜浆果丛,仙人掌,ABCD,陷阱制作材料
建筑,44,多选题,否,建筑中常用的绿色系方块有哪些？,绿羊毛,绿陶瓦,绿混凝土,苔藓块,ABCD,绿色系方块
建筑,45,多选题,否,以下哪些方块可以用来建造现代风格建筑？,混凝土,石英块,玻璃,羊毛,ABCD,现代风格材料
建筑,46,多选题,否,哪些方块可以用来建造屋顶边缘？,楼梯,台阶,栅栏,墙,ABCD,屋顶边缘材料
建筑,47,多选题,否,以下哪些方块可以用来制作隐蔽入口？,画,活塞,地毯,活板门,ABCD,隐蔽入口制作
建筑,48,多选题,否,建筑中常用的白色系方块有哪些？,白羊毛,白陶瓦,白混凝土,石英块,ABCD,白色系方块
建筑,49,多选题,否,以下哪些方块可以用来建造水下呼吸空间？,门,活板门,楼梯,栅栏门,ABCD,水下呼吸空间
建筑,50,多选题,否,哪些方块可以用来建造花园？,花朵,树苗,草方块,苔藓,ABCD,花园建造材料
生存,1,单选题,是,在Minecraft中以下哪种工具挖掘石头最快？,木镐,石镐,铁镐,钻石镐,D,工具效率比较
生存,2,单选题,否,在下界中以下哪种方块可以用来制作药水？,下界岩,灵魂沙,地狱疣,荧石,C,药水制作材料
生存,3,单选题,否,如何制作铁傀儡？,4个铁块+1个南瓜,3个铁块+1个南瓜,4个铁块+1个西瓜,3个铁锭+1个南瓜,A,铁傀儡制作
生存,4,单选题,否,以下哪种食物恢复的饥饿值最多？,面包,牛排,金苹果,蛋糕,C,食物饥饿值比较
生存,5,单选题,否,如何获得末影珍珠？,击杀末影人,挖掘末地石,与村民交易,以上都可以,D,末影珍珠获取
生存,6,单选题,否,以下哪种生物会主动攻击玩家？,猪,羊,僵尸,牛,C,敌对生物识别
生存,7,单选题,否,如何制作床？,3个羊毛+3个木板,2个羊毛+4个木板,3个羊毛+2个木板,4个羊毛+2个木板,A,床的制作配方
生存,8,单选题,否,以下哪种矿物只能在下界找到？,铁矿石,金矿石,下界石英矿石,钻石矿石,C,下界矿物分布
生存,9,单选题,否,如何获得龙蛋？,击杀末影龙,挖掘末地石,末地城宝箱,与村民交易,A,龙蛋获取方式
生存,10,单选题,否,以下哪种药水可以让玩家在水下呼吸？,水肺药水,夜视药水,隐身药水,迅捷药水,A,水下呼吸药水
生存,11,单选题,否,如何获得信标？,击杀凋灵,合成,地牢宝箱,与村民交易,B,信标获取方式
生存,12,单选题,否,以下哪种方块可以用来制作传送门？,黑曜石,末地传送门框架,哭泣的黑曜石,以上都可以,A,传送门制作材料
生存,13,单选题,否,如何获得鞘翅？,击杀末影龙,末地船,末地城宝箱,与村民交易,B,鞘翅获取位置
生存,14,单选题,否,以下哪种生物可以驯服？,僵尸,骷髅,狼,末影人,C,可驯服生物
生存,15,单选题,否,如何获得不死图腾？,击杀唤魔者,林地府邸宝箱,与村民交易,以上都可以,A,不死图腾获取
生存,16,单选题,否,以下哪种食物可以用来繁殖猪？,小麦,胡萝卜,种子,苹果,B,猪繁殖食物
生存,17,单选题,否,如何获得海绵？,击杀守卫者,海底神殿,与流浪商人交易,以上都可以,B,海绵获取方式
