题目ID,题目类型,是否必答,题目内容,选项A,选项B,选项C,选项D,正确答案,备注
1,单选题,是,红石信号的最大传输距离是多少格？,8格,15格,16格,32格,B,红石信号传输距离
2,单选题,否,以下哪种方块可以传输红石信号？,石头,红石块,泥土,木板,B,红石信号传输方块
3,单选题,否,红石中继器的作用是什么？,放大信号,延迟信号,改变信号方向,以上都可以,D,红石中继器功能
4,单选题,否,红石比较器可以检测什么？,容器内物品数量,方块状态,红石信号强度,以上都可以,D,红石比较器功能
5,单选题,否,活塞可以推动多少个方块？,8个,12个,16个,20个,B,活塞推动限制
6,单选题,否,以下哪种方块不能被活塞推动？,石头,黑曜石,泥土,木板,B,活塞推动限制
7,单选题,否,观察者可以检测什么？,方块放置,方块破坏,方块状态变化,以上都可以,D,观察者检测功能
8,单选题,否,红石火把的作用是什么？,提供信号,反转信号,作为光源,以上都可以,D,红石火把功能
9,单选题,否,漏斗可以连接到哪些方块？,箱子,熔炉,漏斗,以上都可以,D,漏斗连接方块
10,单选题,否,投掷器和发射器有什么区别？,没有区别,投掷器投出物品发射器使用物品,发射器投出物品投掷器使用物品,名称不同,B,投掷器与发射器区别
11,单选题,否,红石灯需要多少信号强度才能点亮？,1,8,15,任何强度,D,红石灯点亮条件
12,单选题,否,以下哪种方块可以阻挡红石信号？,石头,玻璃,空气,以上都不可以,A,红石信号阻挡
13,单选题,否,粘性活塞和普通活塞有什么区别？,没有区别,粘性活塞可以拉回方块,普通活塞可以拉回方块,粘性活塞推动更快,B,粘性活塞特性
14,单选题,否,红石信号的最快传输速度是多少？,即时,每tick 1格,每秒 10格,每秒 15格,B,红石信号速度
15,单选题,否,以下哪种方块可以产生红石信号？,按钮,压力板,拉杆,以上都可以,D,红石信号源
16,单选题,否,红石中继器的最大延迟是多少？,1 tick,2 tick,3 tick,4 tick,D,中继器延迟设置
17,单选题,否,以下哪种方块可以检测玩家？,压力板,绊线钩,观察者,以上都可以,D,玩家检测方块
18,单选题,否,红石块有什么特殊性质？,可以被活塞推动,持续输出信号,不能被破坏,以上都可以,B,红石块特性
19,单选题,否,以下哪种方块可以储存红石信号？,红石中继器,红石比较器,红石火把,以上都不可以,A,红石信号储存
20,单选题,否,侦测器的输出信号持续多长时间？,1 tick,2 tick,5 tick,10 tick,A,侦测器信号持续时间
21,单选题,否,音符盒需要什么才能发出声音？,红石信号,玩家点击,生物踩踏,以上都可以,D,音符盒激活方式
22,单选题,否,以下哪种方块可以检测下雨？,阳光传感器,绊线钩,压力板,观察者,A,雨水检测方块
23,单选题,否,红石火把的亮度等级是多少？,7,10,14,15,C,红石火把亮度
24,单选题,否,以下哪种方块可以制作隐藏楼梯？,活塞,粘性活塞,观察者,以上都可以,D,隐藏楼梯制作
25,单选题,否,红石粉的堆叠上限是多少？,16,32,64,128,C,红石粉堆叠
26,单选题,否,以下哪种方块可以制作自动收割机？,活塞,观察者,漏斗,以上都可以,D,自动收割机制作
27,单选题,否,红石比较器的输出信号强度取决于什么？,输入信号强度,容器内物品数量,比较模式,以上都可以,D,比较器输出
28,单选题,否,以下哪种方块可以制作密码门？,红石比较器,物品展示框,红石中继器,以上都可以,D,密码门制作
29,单选题,否,红石火把在什么情况下会熄灭？,被水淹没,被红石信号激活,被破坏,以上都可以,D,红石火把熄灭条件
30,单选题,否,以下哪种方块可以制作自动熔炉？,漏斗,熔炉,箱子,以上都可以,D,自动熔炉制作
31,多选题,是,以下哪些方块可以产生红石信号？,红石块,红石火把,阳光传感器,以上都可以,ABC,红石信号源（必答）
32,多选题,否,以下哪些方块可以传输红石信号？,红石粉,红石中继器,红石比较器,红石块,ABC,红石信号传输方块
33,多选题,否,以下哪些方块可以检测物品？,漏斗,投掷器,箱子,红石比较器,AD,物品检测方块
34,多选题,否,以下哪些方块可以延迟红石信号？,红石中继器,红石比较器,红石火把,观察者,AB,信号延迟方块
35,多选题,否,以下哪些方块可以被活塞推动？,石头,泥土,黑曜石,基岩,AB,可推动方块
